Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;claro;100,00;4;12;78,9019;100,0000;2022-03-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;89,42;1046;6124;88,4847;90,3526;2022-05-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;84,62;6635;25554;84,1596;85,0740;2022-08-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;85,59;2192;8619;84,8027;86,3772;2022-05-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;87,53;378;1660;85,7363;89,3239;2022-03-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;tim;5,88;14;17;0,0000;23,6082;2022-07-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;vivo;47,65;17;169;42,0250;53,2690;2022-08-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;tim;7,14;12;14;0,0000;26,6758;2022-05-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belem;al;vivo;51,83;17;327;47,7876;55,8709;2022-11-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;85,73;5047;19676;85,2077;86,2498;2022-07-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;claro;83,49;7879;29979;83,0696;83,9138;2022-09-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;vivo;90,97;1963;13484;90,3376;91,5964;2022-09-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;palmas;to;tim;93,94;2899;9687;93,1977;94,6829;2022-12-28
